2025-03-23 23:13:26,323 pop.CCCL_environment_mixins INFO     mongo_db = TemporaryCCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e041367a24a5c1883c8588 succesfully
2025-03-23 23:13:26,327 pop.CCCL_environment_mixins INFO     mongo_db = TodayCCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e041367a24a5c1883c8589 succesfully
2025-03-23 23:13:32,971 django.request WARNING  Not Found: /favicon.ico
2025-03-23 23:13:56,720 pop.CCCL_environment_mixins INFO     mongo_db = CCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e041547a24a5c1883c858a succesfully
2025-03-23 23:13:56,728 pop.CCCL_environment_mixins INFO     mongo_db = TemporaryCCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e041547a24a5c1883c858b succesfully
2025-03-23 23:13:56,734 pop.CCCL_environment_mixins INFO     mongo_db = TodayCCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e041547a24a5c1883c858c succesfully
2025-03-23 23:14:01,753 pop.CPM_RT_mixins INFO     mongo_db = RTModelCPM, topic = MQTT_RT_DATA created 67e041597a24a5c1883c858d succesfully
2025-03-23 23:14:01,759 pop.CPM_RT_mixins INFO     mongo_db = TemporaryRTModelCPM, topic = MQTT_RT_DATA created 67e041597a24a5c1883c858e succesfully
2025-03-23 23:14:01,765 pop.CPM_RT_mixins INFO     mongo_db = TodayRTModelCPM, topic = MQTT_RT_DATA created 67e041597a24a5c1883c858f succesfully
2025-03-23 23:14:05,261 pop.CCCL_generator_mixins INFO     mongo_db = CCCLGenerator, topic = CCCL/PURBACHAL/ENM_01 created 67e0415d7a24a5c1883c8590 succesfully
2025-03-23 23:14:05,276 pop.CCCL_generator_mixins INFO     mongo_db = TemporaryCCCLGenerator, topic = CCCL/PURBACHAL/ENM_01 created 67e0415d7a24a5c1883c8591 succesfully
2025-03-23 23:14:05,284 pop.CCCL_generator_mixins INFO     mongo_db = TodayCCCLGenerator, topic = CCCL/PURBACHAL/ENM_01 created 67e0415d7a24a5c1883c8592 succesfully
2025-03-23 23:14:30,062 pop.CPM_DAY_DATA_mongo_mixins INFO     mongo_db = DayDataModelCPM, topic = MQTT_DAY_DATA created 67e04176cc630737986095f4 succesfully
2025-03-23 23:14:30,084 pop.CPM_ENY_FRZ_mongo_mixins INFO     mongo_db = EnyFrzDataModelCPM, topic = MQTT_ENY_FRZ created 67e04176cc630737986095f5 succesfully
2025-03-23 23:14:30,138 pop.CPM_ENY_NOW_mongo_mixins INFO     mongo_db = EnyNowDataModelCPM, topic = MQTT_ENY_NOW created 67e04176cc630737986095f6 succesfully
2025-03-23 23:14:30,148 pop.CPM_ENY_NOW_mongo_mixins INFO     mongo_db = TemporaryEnyNowDataModelCPM, topic = MQTT_ENY_NOW created 67e04176cc630737986095f7 succesfully
2025-03-23 23:14:30,164 pop.CPM_ENY_NOW_mongo_mixins INFO     mongo_db = TodayEnyNowDataModelCPM, topic = MQTT_ENY_NOW created 67e04176cc630737986095f8 succesfully
2025-03-23 23:14:30,180 pop.CPM_ENY_NOW_mongo_mixins INFO     mongo_db = Last7DaysEnyNowDataModelCPM, topic = MQTT_ENY_NOW created 67e04176cc630737986095f9 succesfully
2025-03-23 23:14:31,670 pop.CPM_RT_mixins INFO     mongo_db = RTModelCPM, topic = MQTT_RT_DATA created 67e04177cc630737986095fa succesfully
2025-03-23 23:14:31,683 pop.CPM_RT_mixins INFO     mongo_db = TemporaryRTModelCPM, topic = MQTT_RT_DATA created 67e04177cc630737986095fb succesfully
2025-03-23 23:14:31,697 pop.CPM_RT_mixins INFO     mongo_db = TodayRTModelCPM, topic = MQTT_RT_DATA created 67e04177cc630737986095fc succesfully
2025-03-23 23:14:57,281 pop.CCCL_environment_mixins INFO     mongo_db = CCCLEnvironment, topic = CCCL/PURBACHAL/ENV_01 created 67e04191cc630737986095fd succesfully
